#TYPE System.ServiceProcess.ServiceController
Name,CanPauseAndContinue,CanShutdown,CanStop,DisplayName,DependentServices,MachineName,ServiceName,ServicesDependedOn,ServiceHandle,Status,ServiceType,Site,Container
LanmanServer,True,True,True,Server,System.ServiceProcess.ServiceController[],.,LanmanServer,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
LanmanWorkstation,True,True,True,Workstation,System.ServiceProcess.ServiceController[],.,LanmanWorkstation,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
lltdsvc,False,False,False,"Link-Layer Topology Discovery Mapper",System.ServiceProcess.ServiceController[],.,lltdsvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
lmhosts,False,False,True,"TCP/IP NetBIOS Helper",System.ServiceProcess.ServiceController[],.,lmhosts,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
MMCSS,False,False,False,"Multimedia Class Scheduler",System.ServiceProcess.ServiceController[],.,MMCSS,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
MpsSvc,False,False,True,"Windows Firewall",System.ServiceProcess.ServiceController[],.,MpsSvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
MSDTC,False,True,True,"Distributed Transaction Coordinator",System.ServiceProcess.ServiceController[],.,MSDTC,System.ServiceProcess.ServiceController[],,Running,Win32OwnProcess,,
MSiSCSI,False,False,False,"Microsoft iSCSI Initiator Service",System.ServiceProcess.ServiceController[],.,MSiSCSI,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
msiserver,False,False,False,"Windows Installer",System.ServiceProcess.ServiceController[],.,msiserver,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
napagent,False,False,False,"Network Access Protection Agent",System.ServiceProcess.ServiceController[],.,napagent,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
Netlogon,False,False,False,Netlogon,System.ServiceProcess.ServiceController[],.,Netlogon,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
Netman,False,False,True,"Network Connections",System.ServiceProcess.ServiceController[],.,Netman,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
netprofm,False,True,True,"Network List Service",System.ServiceProcess.ServiceController[],.,netprofm,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
NlaSvc,False,True,True,"Network Location Awareness",System.ServiceProcess.ServiceController[],.,NlaSvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
nsi,False,True,True,"Network Store Interface Service",System.ServiceProcess.ServiceController[],.,nsi,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
pla,False,False,False,"Performance Logs & Alerts",System.ServiceProcess.ServiceController[],.,pla,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
PlugPlay,False,True,False,"Plug and Play",System.ServiceProcess.ServiceController[],.,PlugPlay,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
PolicyAgent,False,True,True,"IPsec Policy Agent",System.ServiceProcess.ServiceController[],.,PolicyAgent,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
ProfSvc,False,True,True,"User Profile Service",System.ServiceProcess.ServiceController[],.,ProfSvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
ProtectedStorage,False,False,False,"Protected Storage",System.ServiceProcess.ServiceController[],.,ProtectedStorage,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
RasAuto,False,False,False,"Remote Access Auto Connection Manager",System.ServiceProcess.ServiceController[],.,RasAuto,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
RasMan,False,False,False,"Remote Access Connection Manager",System.ServiceProcess.ServiceController[],.,RasMan,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
RemoteAccess,False,False,False,"Routing and Remote Access",System.ServiceProcess.ServiceController[],.,RemoteAccess,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
RemoteRegistry,False,False,True,"Remote Registry",System.ServiceProcess.ServiceController[],.,RemoteRegistry,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
RpcLocator,False,False,False,"Remote Procedure Call (RPC) Locator",System.ServiceProcess.ServiceController[],.,RpcLocator,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
RpcSs,False,False,False,"Remote Procedure Call (RPC)",System.ServiceProcess.ServiceController[],.,RpcSs,System.ServiceProcess.ServiceController[],,Running,Win32ShareProcess,,
RSoPProv,False,False,False,"Resultant Set of Policy Provider",System.ServiceProcess.ServiceController[],.,RSoPProv,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
sacsvr,False,False,False,"Special Administration Console Helper",System.ServiceProcess.ServiceController[],.,sacsvr,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
SamSs,False,False,False,"Security Accounts Manager",System.ServiceProcess.ServiceController[],.,SamSs,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
SCardSvr,False,False,False,"Smart Card",System.ServiceProcess.ServiceController[],.,SCardSvr,System.ServiceProcess.ServiceController[],,Stopped,Win32ShareProcess,,
Schedule,False,True,True,"Task Scheduler",System.ServiceProcess.ServiceController[],.,Schedule,System.ServiceProcess.ServiceController[],,Running,Win32ShareProcess,,
SCPolicySvc,False,False,False,"Smart Card Removal Policy",System.ServiceProcess.ServiceController[],.,SCPolicySvc,System.ServiceProcess.ServiceController[],,Stopped,Win32ShareProcess,,
seclogon,True,False,True,"Secondary Logon",System.ServiceProcess.ServiceController[],.,seclogon,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
SENS,False,False,True,"System Event Notification Service",System.ServiceProcess.ServiceController[],.,SENS,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
SessionEnv,False,False,False,"Terminal Services Configuration",System.ServiceProcess.ServiceController[],.,SessionEnv,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
SharedAccess,False,False,False,"Internet Connection Sharing (ICS)",System.ServiceProcess.ServiceController[],.,SharedAccess,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
ShellHWDetection,False,True,True,"Shell Hardware Detection",System.ServiceProcess.ServiceController[],.,ShellHWDetection,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
slsvc,False,True,True,"Software Licensing",System.ServiceProcess.ServiceController[],.,slsvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
SLUINotify,False,False,False,"SL UI Notification Service",System.ServiceProcess.ServiceController[],.,SLUINotify,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
SNMPTRAP,False,False,False,"SNMP Trap",System.ServiceProcess.ServiceController[],.,SNMPTRAP,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
Spooler,False,True,True,"Print Spooler",System.ServiceProcess.ServiceController[],.,Spooler,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,"Win32OwnProcess, InteractiveProcess",,
SSDPSRV,False,False,False,"SSDP Discovery",System.ServiceProcess.ServiceController[],.,SSDPSRV,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
SstpSvc,False,False,True,"Secure Socket Tunneling Protocol Service",System.ServiceProcess.ServiceController[],.,SstpSvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
swprv,False,False,False,"Microsoft Software Shadow Copy Provider",System.ServiceProcess.ServiceController[],.,swprv,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
SysMain,False,False,False,Superfetch,System.ServiceProcess.ServiceController[],.,SysMain,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
TapiSrv,True,False,True,Telephony,System.ServiceProcess.ServiceController[],.,TapiSrv,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
TBS,False,False,False,"TPM Base Services",System.ServiceProcess.ServiceController[],.,TBS,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
TermService,False,False,True,"Terminal Services",System.ServiceProcess.ServiceController[],.,TermService,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
Themes,False,False,False,Themes,System.ServiceProcess.ServiceController[],.,Themes,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
THREADORDER,False,False,False,"Thread Ordering Server",System.ServiceProcess.ServiceController[],.,THREADORDER,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
TPAutoConnSvc,False,True,True,"TP AutoConnect Service",System.ServiceProcess.ServiceController[],.,TPAutoConnSvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
TPVCGateway,False,False,False,"TP VC Gateway Service",System.ServiceProcess.ServiceController[],.,TPVCGateway,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
TrkWks,False,True,True,"Distributed Link Tracking Client",System.ServiceProcess.ServiceController[],.,TrkWks,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
TrustedInstaller,False,True,True,"Windows Modules Installer",System.ServiceProcess.ServiceController[],.,TrustedInstaller,System.ServiceProcess.ServiceController[],,Running,Win32OwnProcess,,
UI0Detect,False,False,False,"Interactive Services Detection",System.ServiceProcess.ServiceController[],.,UI0Detect,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,"Win32OwnProcess, InteractiveProcess",,
UmRdpService,False,False,False,"Terminal Services UserMode Port Redirector",System.ServiceProcess.ServiceController[],.,UmRdpService,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
upnphost,False,False,False,"UPnP Device Host",System.ServiceProcess.ServiceController[],.,upnphost,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
UxSms,False,True,True,"Desktop Window Manager Session Manager",System.ServiceProcess.ServiceController[],.,UxSms,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
vds,False,False,False,"Virtual Disk",System.ServiceProcess.ServiceController[],.,vds,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
VGAuthService,False,False,True,"VMware Alias Manager and Ticket Service",System.ServiceProcess.ServiceController[],.,VGAuthService,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
VMTools,True,True,True,"VMware Tools",System.ServiceProcess.ServiceController[],.,VMTools,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
vmvss,False,False,False,"VMware Snapshot Provider",System.ServiceProcess.ServiceController[],.,vmvss,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
"VMware Physical Disk Helper Service",False,False,True,"VMware Physical Disk Helper Service",System.ServiceProcess.ServiceController[],.,"VMware Physical Disk Helper Service",System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
VSS,False,False,False,"Volume Shadow Copy",System.ServiceProcess.ServiceController[],.,VSS,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
W32Time,False,True,True,"Windows Time",System.ServiceProcess.ServiceController[],.,W32Time,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
WcsPlugInService,False,False,False,"Windows Color System",System.ServiceProcess.ServiceController[],.,WcsPlugInService,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
WdiServiceHost,False,False,False,"Diagnostic Service Host",System.ServiceProcess.ServiceController[],.,WdiServiceHost,System.ServiceProcess.ServiceController[],,Stopped,Win32ShareProcess,,
WdiSystemHost,False,False,False,"Diagnostic System Host",System.ServiceProcess.ServiceController[],.,WdiSystemHost,System.ServiceProcess.ServiceController[],,Stopped,Win32ShareProcess,,
Wecsvc,False,False,False,"Windows Event Collector",System.ServiceProcess.ServiceController[],.,Wecsvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
wercplsupport,False,False,False,"Problem Reports and Solutions Control Panel Support",System.ServiceProcess.ServiceController[],.,wercplsupport,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
WerSvc,True,False,True,"Windows Error Reporting Service",System.ServiceProcess.ServiceController[],.,WerSvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
WinHttpAutoProxySvc,False,False,True,"WinHTTP Web Proxy Auto-Discovery Service",System.ServiceProcess.ServiceController[],.,WinHttpAutoProxySvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
Winmgmt,True,True,True,"Windows Management Instrumentation",System.ServiceProcess.ServiceController[],.,Winmgmt,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
WinRM,False,True,True,"Windows Remote Management (WS-Management)",System.ServiceProcess.ServiceController[],.,WinRM,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
wmiApSrv,False,False,True,"WMI Performance Adapter",System.ServiceProcess.ServiceController[],.,wmiApSrv,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
WPDBusEnum,False,False,False,"Portable Device Enumerator Service",System.ServiceProcess.ServiceController[],.,WPDBusEnum,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
wuauserv,False,True,True,"Windows Update",System.ServiceProcess.ServiceController[],.,wuauserv,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
wudfsvc,False,False,False,"Windows Driver Foundation - User-mode Driver Framework",System.ServiceProcess.ServiceController[],.,wudfsvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
